Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^GDAXI,2024-03-19 23:00:00,17987.91015625,18044.490234375,17955.689453125,18015.130859375,18015.130859375,61711000
^GDAXI,2024-03-20 23:00:00,18019.859375,18179.810546875,18019.859375,18179.25,18179.25,79118500
^GDAXI,2024-03-21 23:00:00,18175.080078125,18225.970703125,18140.990234375,18205.939453125,18205.939453125,68616300
^GDAXI,2024-03-24 23:00:00,18206.359375,18285.580078125,18176.849609375,18261.310546875,18261.310546875,53804600
^GDAXI,2024-03-25 23:00:00,18262.109375,18411.98046875,18256.810546875,18384.349609375,18384.349609375,58786600
^GDAXI,2024-03-26 23:00:00,18385.169921875,18511.169921875,18385.169921875,18477.08984375,18477.08984375,66344700
^GDAXI,2024-03-27 23:00:00,18477.400390625,18513.830078125,18468.869140625,18492.490234375,18492.490234375,75716300
^GDAXI,2024-04-01 22:00:00,18492.359375,18567.16015625,18275.939453125,18283.130859375,18283.130859375,82077300
^GDAXI,2024-04-02 22:00:00,18281.8203125,18376.080078125,18281.8203125,18367.720703125,18367.720703125,76334900
^GDAXI,2024-04-03 22:00:00,18366.369140625,18427.4296875,18340.240234375,18403.130859375,18403.130859375,62521400
^GDAXI,2024-04-04 22:00:00,18401.830078125,18401.830078125,18088.029296875,18175.0390625,18175.0390625,77046500
^GDAXI,2024-04-07 22:00:00,18163.390625,18326.369140625,18163.390625,18318.970703125,18318.970703125,61073600
^GDAXI,2024-04-08 22:00:00,18318.400390625,18318.509765625,18058.220703125,18076.689453125,18076.689453125,65276400
^GDAXI,2024-04-09 22:00:00,18078.890625,18239.5,17975.83984375,18097.30078125,18097.30078125,83348200
^GDAXI,2024-04-10 22:00:00,18096.509765625,18101.310546875,17864.689453125,17954.48046875,17954.48046875,84365100
^GDAXI,2024-04-11 22:00:00,17965.94921875,18162.560546875,17860.73046875,17930.3203125,17930.3203125,78993900
^GDAXI,2024-04-14 22:00:00,17937.619140625,18191.94921875,17937.619140625,18026.580078125,18026.580078125,65138500
^GDAXI,2024-04-15 22:00:00,18022.169921875,18022.689453125,17713.5,17766.23046875,17766.23046875,73217300
^GDAXI,2024-04-16 22:00:00,17764.029296875,17907.580078125,17731.7890625,17770.01953125,17770.01953125,55970700
^GDAXI,2024-04-17 22:00:00,17775.41015625,17863.3203125,17716.919921875,17837.400390625,17837.400390625,60700500
^GDAXI,2024-04-18 22:00:00,17834.830078125,17834.869140625,17626.900390625,17737.359375,17737.359375,79447700
^GDAXI,2024-04-21 22:00:00,17738.0390625,17889.470703125,17738.0390625,17860.80078125,17860.80078125,62454400
^GDAXI,2024-04-22 22:00:00,17861.19921875,18144.66015625,17861.19921875,18137.650390625,18137.650390625,68529200
^GDAXI,2024-04-23 22:00:00,18140.189453125,18226.3203125,18060.259765625,18088.69921875,18088.69921875,75104600
^GDAXI,2024-04-24 22:00:00,18088.169921875,18100.75,17795.9609375,17917.279296875,17917.279296875,101517300
^GDAXI,2024-04-25 22:00:00,17920.73046875,18199.7109375,17920.73046875,18161.009765625,18161.009765625,76008600
^GDAXI,2024-04-28 22:00:00,18162.150390625,18235.80078125,18103.4296875,18118.3203125,18118.3203125,77251000
^GDAXI,2024-04-29 22:00:00,18119.9296875,18153.689453125,17920.720703125,17932.169921875,17932.169921875,88206200
^GDAXI,2024-05-01 22:00:00,17935.779296875,17981.0390625,17875.98046875,17896.5,17896.5,71332200
^GDAXI,2024-05-02 22:00:00,17900.150390625,18105.8203125,17900.01953125,18001.599609375,18001.599609375,71259900
^GDAXI,2024-05-05 22:00:00,18001.130859375,18199.150390625,18001.130859375,18175.2109375,18175.2109375,46036600
^GDAXI,2024-05-06 22:00:00,18175.2109375,18442.400390625,18175.2109375,18430.05078125,18430.05078125,85365200
^GDAXI,2024-05-07 22:00:00,18430.25,18542.099609375,18427.259765625,18498.380859375,18498.380859375,74222500
^GDAXI,2024-05-08 22:00:00,18498.08984375,18699.2890625,18488.0390625,18686.599609375,18686.599609375,53613600
^GDAXI,2024-05-09 22:00:00,18686.849609375,18845.859375,18686.849609375,18772.849609375,18772.849609375,87914100
^GDAXI,2024-05-12 22:00:00,18773.240234375,18799.76953125,18706.080078125,18742.220703125,18742.220703125,66373100
^GDAXI,2024-05-13 22:00:00,18735.83984375,18748.759765625,18629.029296875,18716.419921875,18716.419921875,73288600
^GDAXI,2024-05-14 22:00:00,18719.810546875,18892.919921875,18719.810546875,18869.359375,18869.359375,81628700
^GDAXI,2024-05-15 22:00:00,18874.849609375,18890.779296875,18716.330078125,18738.810546875,18738.810546875,76322100
^GDAXI,2024-05-16 22:00:00,18713.25,18724.01953125,18627.91015625,18704.419921875,18704.419921875,75994100
^GDAXI,2024-05-19 22:00:00,18710.130859375,18804.0,18710.130859375,18768.9609375,18768.9609375,41185400
^GDAXI,2024-05-20 22:00:00,18768.640625,18768.640625,18638.140625,18726.759765625,18726.759765625,65727800
^GDAXI,2024-05-21 22:00:00,18731.650390625,18731.650390625,18642.19921875,18680.19921875,18680.19921875,57984200
^GDAXI,2024-05-22 22:00:00,18682.48046875,18766.6796875,18639.169921875,18691.3203125,18691.3203125,63719300
^GDAXI,2024-05-23 22:00:00,18687.599609375,18706.650390625,18515.83984375,18693.369140625,18693.369140625,53855900
^GDAXI,2024-05-26 22:00:00,18703.130859375,18775.130859375,18680.810546875,18774.7109375,18774.7109375,37335400
^GDAXI,2024-05-27 22:00:00,18775.55078125,18855.05078125,18635.0390625,18677.869140625,18677.869140625,52670400
^GDAXI,2024-05-28 22:00:00,18677.69921875,18677.69921875,18438.009765625,18473.2890625,18473.2890625,59553600
^GDAXI,2024-05-29 22:00:00,18465.470703125,18531.849609375,18394.4296875,18496.7890625,18496.7890625,52348300
^GDAXI,2024-05-30 22:00:00,18495.220703125,18542.26953125,18426.720703125,18497.939453125,18497.939453125,144013800
^GDAXI,2024-06-02 22:00:00,18503.7890625,18697.08984375,18503.7890625,18608.16015625,18608.16015625,54181600
^GDAXI,2024-06-03 22:00:00,18608.30078125,18608.30078125,18365.529296875,18405.640625,18405.640625,81414800
^GDAXI,2024-06-04 22:00:00,18406.060546875,18624.359375,18406.060546875,18575.939453125,18575.939453125,63882100
^GDAXI,2024-06-05 22:00:00,18576.580078125,18784.650390625,18576.580078125,18652.669921875,18652.669921875,60878800
^GDAXI,2024-06-06 22:00:00,18649.080078125,18649.080078125,18424.599609375,18557.26953125,18557.26953125,61383200
^GDAXI,2024-06-09 22:00:00,18550.330078125,18550.330078125,18359.419921875,18494.890625,18494.890625,53451600
^GDAXI,2024-06-10 22:00:00,18497.849609375,18543.0390625,18281.560546875,18369.939453125,18369.939453125,63755500
^GDAXI,2024-06-11 22:00:00,18368.51953125,18651.69921875,18368.51953125,18630.859375,18630.859375,61490000
^GDAXI,2024-06-12 22:00:00,18632.009765625,18632.009765625,18253.419921875,18265.6796875,18265.6796875,72490900
^GDAXI,2024-06-13 22:00:00,18267.6796875,18304.7890625,17951.169921875,18002.01953125,18002.01953125,92522600
^GDAXI,2024-06-16 22:00:00,18008.23046875,18149.330078125,17969.5390625,18068.2109375,18068.2109375,57818800
^GDAXI,2024-06-17 22:00:00,18073.439453125,18214.19921875,18073.240234375,18131.970703125,18131.970703125,50843000
^GDAXI,2024-06-18 22:00:00,18131.349609375,18148.009765625,18055.630859375,18067.91015625,18067.91015625,52036900
^GDAXI,2024-06-19 22:00:00,18068.669921875,18254.1796875,18068.580078125,18254.1796875,18254.1796875,59523600
^GDAXI,2024-06-20 22:00:00,18254.5703125,18257.939453125,18090.0390625,18163.51953125,18163.51953125,154535300
^GDAXI,2024-06-23 22:00:00,18165.5390625,18354.7109375,18165.5390625,18325.580078125,18325.580078125,61738700
^GDAXI,2024-06-24 22:00:00,18300.419921875,18307.609375,18075.75,18177.619140625,18177.619140625,54133500
^GDAXI,2024-06-25 22:00:00,18176.80078125,18363.390625,18045.5390625,18155.240234375,18155.240234375,56452300
^GDAXI,2024-06-26 22:00:00,18154.970703125,18265.51953125,18141.279296875,18210.55078125,18210.55078125,54448500
^GDAXI,2024-06-27 22:00:00,18211.970703125,18352.650390625,18198.099609375,18235.44921875,18235.44921875,64588100
^GDAXI,2024-06-30 22:00:00,18236.349609375,18460.720703125,18236.26953125,18290.66015625,18290.66015625,55846500
^GDAXI,2024-07-01 22:00:00,18286.859375,18286.859375,18030.490234375,18164.060546875,18164.060546875,57146800
^GDAXI,2024-07-02 22:00:00,18181.7109375,18395.599609375,18181.7109375,18374.529296875,18374.529296875,59157800
^GDAXI,2024-07-03 22:00:00,18375.9609375,18468.16015625,18375.6796875,18450.48046875,18450.48046875,34330900
^GDAXI,2024-07-04 22:00:00,18450.58984375,18650.359375,18420.5703125,18475.44921875,18475.44921875,45501300
^GDAXI,2024-07-07 22:00:00,18474.26953125,18631.609375,18444.060546875,18472.05078125,18472.05078125,45306600
^GDAXI,2024-07-08 22:00:00,18471.349609375,18473.0,18213.98046875,18236.189453125,18236.189453125,56403100
^GDAXI,2024-07-09 22:00:00,18236.75,18420.130859375,18236.75,18407.220703125,18407.220703125,49277300
^GDAXI,2024-07-10 22:00:00,18409.69921875,18578.44921875,18409.650390625,18534.560546875,18534.560546875,50928500
^GDAXI,2024-07-11 22:00:00,18534.490234375,18779.400390625,18528.390625,18748.1796875,18748.1796875,49829900
^GDAXI,2024-07-14 22:00:00,18736.109375,18743.6796875,18581.01953125,18590.890625,18590.890625,42769100
^GDAXI,2024-07-15 22:00:00,18586.419921875,18586.419921875,18448.26953125,18518.029296875,18518.029296875,45194900
^GDAXI,2024-07-16 22:00:00,18512.109375,18532.66015625,18347.240234375,18437.30078125,18437.30078125,49011600
^GDAXI,2024-07-17 22:00:00,18439.330078125,18536.259765625,18352.330078125,18354.759765625,18354.759765625,52139700
^GDAXI,2024-07-18 22:00:00,18340.849609375,18341.8203125,18162.30078125,18171.9296875,18171.9296875,58262300
^GDAXI,2024-07-21 22:00:00,18270.849609375,18468.599609375,18231.41015625,18407.0703125,18407.0703125,46821100
^GDAXI,2024-07-22 22:00:00,18500.669921875,18647.099609375,18464.220703125,18557.69921875,18557.69921875,48611000
^GDAXI,2024-07-23 22:00:00,18394.30078125,18456.390625,18348.990234375,18387.4609375,18387.4609375,71705700
^GDAXI,2024-07-24 22:00:00,18209.400390625,18326.1796875,18096.689453125,18298.720703125,18298.720703125,70728300
^GDAXI,2024-07-25 22:00:00,18255.349609375,18428.880859375,18218.5390625,18417.55078125,18417.55078125,46952600
^GDAXI,2024-07-28 22:00:00,18542.4296875,18546.3203125,18309.26953125,18320.669921875,18320.669921875,42845500
^GDAXI,2024-07-29 22:00:00,18363.9296875,18469.080078125,18341.419921875,18411.1796875,18411.1796875,43049700
^GDAXI,2024-07-30 22:00:00,18503.1796875,18564.390625,18434.8203125,18508.650390625,18508.650390625,62448100
^GDAXI,2024-07-31 22:00:00,18432.5,18440.919921875,18069.619140625,18083.05078125,18083.05078125,71404300
^GDAXI,2024-08-01 22:00:00,17884.859375,17918.01953125,17623.970703125,17661.220703125,17661.220703125,93521900
^GDAXI,2024-08-04 22:00:00,17525.58984375,17525.58984375,17024.8203125,17339.0,17339.0,101880300
^GDAXI,2024-08-05 22:00:00,17422.5703125,17505.23046875,17233.0703125,17354.3203125,17354.3203125,78115300
^GDAXI,2024-08-06 22:00:00,17438.650390625,17666.8203125,17386.880859375,17615.150390625,17615.150390625,73601400
^GDAXI,2024-08-07 22:00:00,17516.05078125,17696.669921875,17439.869140625,17680.400390625,17680.400390625,61730800
^GDAXI,2024-08-08 22:00:00,17672.900390625,17788.720703125,17618.419921875,17722.880859375,17722.880859375,0
^GDAXI,2024-08-11 22:00:00,17784.029296875,17829.099609375,17677.7890625,17726.470703125,17726.470703125,38708600
^GDAXI,2024-08-12 22:00:00,17799.66015625,17817.0703125,17669.640625,17812.05078125,17812.05078125,0
^GDAXI,2024-08-13 22:00:00,17882.1796875,17921.990234375,17827.080078125,17885.599609375,17885.599609375,0
^GDAXI,2024-08-14 22:00:00,17977.810546875,18198.08984375,17909.740234375,18183.240234375,18183.240234375,0
^GDAXI,2024-08-15 22:00:00,18236.01953125,18344.220703125,18226.599609375,18322.400390625,18322.400390625,63794900
^GDAXI,2024-08-18 22:00:00,18312.509765625,18454.939453125,18284.859375,18421.689453125,18421.689453125,43769700
^GDAXI,2024-08-19 22:00:00,18473.23046875,18495.279296875,18349.98046875,18357.51953125,18357.51953125,42912000
^GDAXI,2024-08-20 22:00:00,18358.7890625,18476.630859375,18352.189453125,18448.94921875,18448.94921875,36068100
^GDAXI,2024-08-21 22:00:00,18459.279296875,18551.390625,18458.609375,18493.390625,18493.390625,40950900
^GDAXI,2024-08-22 22:00:00,18538.869140625,18670.44921875,18519.2890625,18633.099609375,18633.099609375,41122500
^GDAXI,2024-08-25 22:00:00,18589.900390625,18638.970703125,18554.509765625,18617.01953125,18617.01953125,23952300
^GDAXI,2024-08-26 22:00:00,18637.19921875,18724.390625,18622.66015625,18681.810546875,18681.810546875,35308200
^GDAXI,2024-08-27 22:00:00,18745.140625,18856.58984375,18731.44921875,18782.2890625,18782.2890625,37615100
^GDAXI,2024-08-28 22:00:00,18791.169921875,18936.0390625,18781.16015625,18912.5703125,18912.5703125,39421500
^GDAXI,2024-08-29 22:00:00,18891.349609375,18970.7109375,18886.08984375,18906.919921875,18906.919921875,95583000
^GDAXI,2024-09-01 22:00:00,18913.529296875,18937.98046875,18778.5390625,18930.849609375,18930.849609375,36654700
^GDAXI,2024-09-02 22:00:00,18979.529296875,18990.779296875,18728.4609375,18747.109375,18747.109375,51866700
^GDAXI,2024-09-03 22:00:00,18531.98046875,18654.19921875,18531.98046875,18591.849609375,18591.849609375,52360600
^GDAXI,2024-09-04 22:00:00,18539.150390625,18677.630859375,18536.560546875,18576.5,18576.5,57259500
^GDAXI,2024-09-05 22:00:00,18534.869140625,18607.7890625,18274.98046875,18301.900390625,18301.900390625,60804900
^GDAXI,2024-09-08 22:00:00,18379.51953125,18484.279296875,18353.25,18443.560546875,18443.560546875,43109500
^GDAXI,2024-09-09 22:00:00,18417.109375,18490.6796875,18233.859375,18265.919921875,18265.919921875,70039500
^GDAXI,2024-09-10 22:00:00,18342.5703125,18434.619140625,18208.83984375,18330.26953125,18330.26953125,87371800
^GDAXI,2024-09-11 22:00:00,18533.41015625,18595.830078125,18382.259765625,18518.390625,18518.390625,61591100
^GDAXI,2024-09-12 22:00:00,18546.220703125,18722.189453125,18542.23046875,18699.400390625,18699.400390625,69687600
^GDAXI,2024-09-15 22:00:00,18621.779296875,18672.23046875,18599.529296875,18633.109375,18633.109375,51208600
^GDAXI,2024-09-16 22:00:00,18686.759765625,18805.08984375,18671.640625,18726.080078125,18726.080078125,60260500
^GDAXI,2024-09-17 22:00:00,18729.640625,18756.529296875,18695.369140625,18711.490234375,18711.490234375,56152800
^GDAXI,2024-09-18 22:00:00,18877.5703125,19044.9609375,18806.16015625,19002.380859375,19002.380859375,80223000
^GDAXI,2024-09-19 22:00:00,18895.8203125,18900.439453125,18710.33984375,18720.009765625,18720.009765625,155117400
^GDAXI,2024-09-22 22:00:00,18766.919921875,18857.369140625,18684.33984375,18846.7890625,18846.7890625,67192700
^GDAXI,2024-09-23 22:00:00,18982.400390625,19029.44921875,18903.48046875,18996.630859375,18996.630859375,57329700
^GDAXI,2024-09-24 22:00:00,18845.919921875,18965.009765625,18840.130859375,18918.5,18918.5,52174600
^GDAXI,2024-09-25 22:00:00,19107.859375,19253.0703125,19088.419921875,19238.359375,19238.359375,78292900
^GDAXI,2024-09-26 22:00:00,19257.6796875,19491.9296875,19239.859375,19473.630859375,19473.630859375,77616700
^GDAXI,2024-09-29 22:00:00,19412.330078125,19449.98046875,19314.33984375,19324.9296875,19324.9296875,67084500
^GDAXI,2024-09-30 22:00:00,19409.390625,19448.94921875,19143.7890625,19213.140625,19213.140625,69875300
^GDAXI,2024-10-01 22:00:00,19221.66015625,19250.890625,19059.599609375,19164.75,19164.75,49480800
^GDAXI,2024-10-02 22:00:00,19074.44921875,19110.310546875,18964.310546875,19015.41015625,19015.41015625,46992800
^GDAXI,2024-10-03 22:00:00,18968.849609375,19171.5390625,18952.439453125,19120.9296875,19120.9296875,58396000
^GDAXI,2024-10-06 22:00:00,19150.26953125,19151.970703125,19011.939453125,19104.099609375,19104.099609375,46285500
^GDAXI,2024-10-07 22:00:00,18937.69921875,19098.48046875,18911.720703125,19066.470703125,19066.470703125,49308400
^GDAXI,2024-10-08 22:00:00,19065.1796875,19259.119140625,19007.849609375,19254.9296875,19254.9296875,53333500
^GDAXI,2024-10-09 22:00:00,19242.849609375,19285.16015625,19145.419921875,19210.900390625,19210.900390625,52366500
^GDAXI,2024-10-10 22:00:00,19206.310546875,19377.099609375,19175.779296875,19373.830078125,19373.830078125,54978200
^GDAXI,2024-10-13 22:00:00,19409.689453125,19518.439453125,19392.640625,19508.2890625,19508.2890625,43005800
^GDAXI,2024-10-14 22:00:00,19581.5703125,19633.91015625,19457.490234375,19486.189453125,19486.189453125,69656200
^GDAXI,2024-10-15 22:00:00,19465.30078125,19510.259765625,19401.5390625,19432.810546875,19432.810546875,51088700
^GDAXI,2024-10-16 22:00:00,19509.7890625,19674.6796875,19499.4609375,19583.390625,19583.390625,49000700
^GDAXI,2024-10-17 22:00:00,19543.7109375,19667.33984375,19540.19921875,19657.369140625,19657.369140625,57112300
^GDAXI,2024-10-20 22:00:00,19609.419921875,19645.01953125,19451.720703125,19461.189453125,19461.189453125,41631500
^GDAXI,2024-10-21 22:00:00,19528.91015625,19591.490234375,19368.689453125,19421.91015625,19421.91015625,54438000
^GDAXI,2024-10-22 22:00:00,19399.330078125,19464.5390625,19330.109375,19377.619140625,19377.619140625,52260500
^GDAXI,2024-10-23 22:00:00,19417.73046875,19555.44921875,19417.73046875,19443.0,19443.0,55469100
^GDAXI,2024-10-24 22:00:00,19419.51953125,19516.240234375,19388.91015625,19463.58984375,19463.58984375,46014500
^GDAXI,2024-10-27 23:00:00,19528.669921875,19570.919921875,19399.16015625,19531.619140625,19531.619140625,46669100
^GDAXI,2024-10-28 23:00:00,19634.330078125,19643.119140625,19465.0,19478.0703125,19478.0703125,46982400
^GDAXI,2024-10-29 23:00:00,19403.4296875,19420.939453125,19201.240234375,19257.33984375,19257.33984375,59541100
^GDAXI,2024-10-30 23:00:00,19096.6796875,19184.310546875,19004.970703125,19077.5390625,19077.5390625,63370400
^GDAXI,2024-10-31 23:00:00,19093.990234375,19297.640625,19082.099609375,19254.970703125,19254.970703125,45756600
^GDAXI,2024-11-03 23:00:00,19231.859375,19286.0390625,19147.759765625,19147.849609375,19147.849609375,43111600
^GDAXI,2024-11-04 23:00:00,19170.150390625,19263.140625,19104.58984375,19256.26953125,19256.26953125,47179800
^GDAXI,2024-11-05 23:00:00,19360.75,19563.970703125,19007.880859375,19039.310546875,19039.310546875,112726700
^GDAXI,2024-11-06 23:00:00,19157.220703125,19437.880859375,19148.7890625,19362.51953125,19362.51953125,83268900
^GDAXI,2024-11-07 23:00:00,19411.58984375,19411.599609375,19146.529296875,19215.48046875,19215.48046875,69792500
^GDAXI,2024-11-10 23:00:00,19386.69921875,19546.900390625,19382.48046875,19448.599609375,19448.599609375,59016800
^GDAXI,2024-11-11 23:00:00,19260.580078125,19339.8203125,19019.669921875,19033.640625,19033.640625,92931100
^GDAXI,2024-11-12 23:00:00,19024.279296875,19125.689453125,18838.6796875,19003.109375,19003.109375,92679600
^GDAXI,2024-11-13 23:00:00,19072.189453125,19307.5703125,19060.439453125,19263.69921875,19263.69921875,77861900
^GDAXI,2024-11-14 23:00:00,19135.640625,19288.890625,19121.140625,19210.810546875,19210.810546875,67439800
^GDAXI,2024-11-17 23:00:00,19249.259765625,19279.16015625,19091.900390625,19189.189453125,19189.189453125,51546500
^GDAXI,2024-11-18 23:00:00,19175.83984375,19211.80078125,18812.529296875,19060.310546875,19060.310546875,62320400
^GDAXI,2024-11-19 23:00:00,19153.029296875,19198.740234375,18962.189453125,19004.779296875,19004.779296875,53795400
^GDAXI,2024-11-20 23:00:00,19060.919921875,19152.609375,18900.01953125,19146.169921875,19146.169921875,55646800
^GDAXI,2024-11-21 23:00:00,19240.23046875,19338.099609375,19036.41015625,19322.58984375,19322.58984375,71164000
^GDAXI,2024-11-24 23:00:00,19462.240234375,19468.30078125,19329.880859375,19405.19921875,19405.19921875,121851800
^GDAXI,2024-11-25 23:00:00,19309.16015625,19385.349609375,19239.369140625,19295.98046875,19295.98046875,60758200
^GDAXI,2024-11-26 23:00:00,19257.76953125,19287.0390625,19145.009765625,19261.75,19261.75,51794500
^GDAXI,2024-11-27 23:00:00,19366.720703125,19437.5703125,19346.58984375,19425.73046875,19425.73046875,42531100
^GDAXI,2024-11-28 23:00:00,19400.380859375,19640.150390625,19380.2109375,19626.44921875,19626.44921875,52162600
^GDAXI,2024-12-01 23:00:00,19586.169921875,19933.619140625,19568.5,19933.619140625,19933.619140625,63210300
^GDAXI,2024-12-02 23:00:00,19947.1796875,20038.009765625,19926.259765625,20016.75,20016.75,63234700
^GDAXI,2024-12-03 23:00:00,20103.890625,20260.609375,20085.310546875,20232.140625,20232.140625,63418900
^GDAXI,2024-12-04 23:00:00,20218.2890625,20373.4296875,20216.330078125,20358.80078125,20358.80078125,58274500
^GDAXI,2024-12-05 23:00:00,20374.5390625,20425.859375,20331.240234375,20384.609375,20384.609375,61610000
^GDAXI,2024-12-08 23:00:00,20461.849609375,20461.849609375,20318.259765625,20345.9609375,20345.9609375,58794900
^GDAXI,2024-12-09 23:00:00,20278.740234375,20393.859375,20277.630859375,20329.16015625,20329.16015625,66183800
^GDAXI,2024-12-10 23:00:00,20296.189453125,20415.41015625,20292.859375,20399.16015625,20399.16015625,59728100
^GDAXI,2024-12-11 23:00:00,20440.0703125,20453.439453125,20388.029296875,20426.26953125,20426.26953125,55684800
^GDAXI,2024-12-12 23:00:00,20450.9609375,20522.8203125,20367.119140625,20405.919921875,20405.919921875,52015900
^GDAXI,2024-12-15 23:00:00,20360.75,20387.880859375,20304.779296875,20313.810546875,20313.810546875,64212700
^GDAXI,2024-12-16 23:00:00,20290.9609375,20356.580078125,20241.5,20246.369140625,20246.369140625,70862400
^GDAXI,2024-12-17 23:00:00,20273.849609375,20329.669921875,20241.98046875,20242.5703125,20242.5703125,62488100
^GDAXI,2024-12-18 23:00:00,20032.05078125,20105.099609375,19959.1796875,19969.859375,19969.859375,70045700
^GDAXI,2024-12-19 23:00:00,19822.869140625,19924.69921875,19649.869140625,19884.75,19884.75,135977900
^GDAXI,2024-12-22 23:00:00,19847.970703125,19901.3203125,19805.5703125,19848.76953125,19848.76953125,38341600
^GDAXI,2024-12-26 23:00:00,19831.6796875,19984.3203125,19801.330078125,19984.3203125,19984.3203125,43396400
^GDAXI,2024-12-29 23:00:00,19892.970703125,19978.0,19882.669921875,19909.140625,19909.140625,26662200
^GDAXI,2025-01-01 23:00:00,19923.0703125,20024.7890625,19833.8203125,20024.66015625,20024.66015625,52445600
^GDAXI,2025-01-02 23:00:00,20028.400390625,20031.109375,19868.140625,19906.080078125,19906.080078125,44372900
^GDAXI,2025-01-05 23:00:00,19982.66015625,20216.189453125,19921.119140625,20216.189453125,20216.189453125,70784900
^GDAXI,2025-01-06 23:00:00,20206.0390625,20391.169921875,20152.69921875,20340.5703125,20340.5703125,62020000
^GDAXI,2025-01-07 23:00:00,20322.169921875,20480.490234375,20242.560546875,20329.939453125,20329.939453125,62954900
^GDAXI,2025-01-08 23:00:00,20284.19921875,20360.380859375,20245.9609375,20317.099609375,20317.099609375,50177100
^GDAXI,2025-01-09 23:00:00,20316.55078125,20400.51953125,20187.970703125,20214.7890625,20214.7890625,76245500
^GDAXI,2025-01-12 23:00:00,20157.240234375,20176.109375,20025.279296875,20132.849609375,20132.849609375,56263600
^GDAXI,2025-01-13 23:00:00,20266.140625,20362.58984375,20234.259765625,20271.330078125,20271.330078125,65394100
^GDAXI,2025-01-14 23:00:00,20305.240234375,20629.76953125,20290.619140625,20574.6796875,20574.6796875,81035100
^GDAXI,2025-01-15 23:00:00,20665.609375,20675.080078125,20580.08984375,20655.390625,20655.390625,66273400
^GDAXI,2025-01-16 23:00:00,20732.0390625,20924.5,20716.380859375,20903.390625,20903.390625,76253100
^GDAXI,2025-01-19 23:00:00,20900.6796875,21054.599609375,20880.5703125,20990.310546875,20990.310546875,49988700
^GDAXI,2025-01-20 23:00:00,20925.75,21045.669921875,20922.80078125,21042.0,21042.0,49305500
^GDAXI,2025-01-21 23:00:00,21169.609375,21330.869140625,21162.310546875,21254.26953125,21254.26953125,63282300
^GDAXI,2025-01-22 23:00:00,21277.580078125,21423.01953125,21254.080078125,21411.529296875,21411.529296875,56353200
^GDAXI,2025-01-23 23:00:00,21463.150390625,21520.5,21353.009765625,21394.9296875,21394.9296875,67380500
^GDAXI,2025-01-26 23:00:00,21201.990234375,21344.98046875,21081.609375,21282.1796875,21282.1796875,79343800
^GDAXI,2025-01-27 23:00:00,21374.2890625,21475.900390625,21296.330078125,21430.580078125,21430.580078125,68020300
^GDAXI,2025-01-28 23:00:00,21511.470703125,21671.58984375,21475.640625,21637.529296875,21637.529296875,69568800
^GDAXI,2025-01-29 23:00:00,21676.220703125,21732.05078125,21650.779296875,21727.19921875,21727.19921875,81446400
^GDAXI,2025-01-30 23:00:00,21771.490234375,21800.51953125,21689.2890625,21732.05078125,21732.05078125,70233900
^GDAXI,2025-02-02 23:00:00,21301.529296875,21462.7890625,21252.7109375,21428.240234375,21428.240234375,80512800
^GDAXI,2025-02-03 23:00:00,21474.7890625,21518.5390625,21298.7109375,21505.69921875,21505.69921875,63679500
^GDAXI,2025-02-04 23:00:00,21429.830078125,21585.9296875,21387.720703125,21585.9296875,21585.9296875,61173700
^GDAXI,2025-02-05 23:00:00,21718.099609375,21921.01953125,21691.5703125,21902.419921875,21902.419921875,75964300
^GDAXI,2025-02-06 23:00:00,21908.48046875,21945.310546875,21759.970703125,21787.0,21787.0,68654900
^GDAXI,2025-02-09 23:00:00,21830.9296875,21945.5703125,21785.01953125,21911.740234375,21911.740234375,54330700
^GDAXI,2025-02-10 23:00:00,21909.9609375,22046.41015625,21884.380859375,22037.830078125,22037.830078125,55759600
^GDAXI,2025-02-11 23:00:00,22077.8203125,22193.650390625,21971.630859375,22148.029296875,22148.029296875,73775600
^GDAXI,2025-02-12 23:00:00,22410.580078125,22624.5703125,22306.330078125,22612.01953125,22612.01953125,96482400
^GDAXI,2025-02-13 23:00:00,22526.869140625,22609.970703125,22467.369140625,22513.419921875,22513.419921875,68291600
^GDAXI,2025-02-16 23:00:00,22589.91015625,22804.19921875,22550.73046875,22798.08984375,22798.08984375,49597100
^GDAXI,2025-02-17 23:00:00,22851.369140625,22882.76953125,22715.25,22844.5,22844.5,61526100
^GDAXI,2025-02-18 23:00:00,22875.9609375,22935.060546875,22416.109375,22433.630859375,22433.630859375,72215900
^GDAXI,2025-02-19 23:00:00,22501.2109375,22574.58984375,22280.23046875,22314.650390625,22314.650390625,70289500
^GDAXI,2025-02-20 23:00:00,22329.220703125,22393.58984375,22226.33984375,22287.560546875,22287.560546875,73524500
^GDAXI,2025-02-23 23:00:00,22470.6796875,22515.359375,22235.259765625,22425.9296875,22425.9296875,72044300
^GDAXI,2025-02-24 23:00:00,22362.810546875,22576.119140625,22332.150390625,22410.26953125,22410.26953125,71533100
^GDAXI,2025-02-25 23:00:00,22571.9296875,22833.25,22554.369140625,22794.109375,22794.109375,81091100
^GDAXI,2025-02-26 23:00:00,22587.26953125,22686.41015625,22378.060546875,22550.890625,22550.890625,74227200
^GDAXI,2025-02-27 23:00:00,22409.25,22551.4296875,22329.060546875,22551.4296875,22551.4296875,119058500
